NAME,RATING,REVIEW COUNT,PRICE,DISCOUNTED PRICE,PRODUCT ID
Kitcheniva 8-Pcs Navy Blue Ultra Super Soft Luxury Pure Turkish Cotton Towel Set,0.0,0,$111.41,$77.99,300589412
"Utopia Towels 2-Pack Luxurious Jumbo Bath Towel Sheets (35 x 70 Inches )- 600 GSM, Plum",0.0,0,$57.99,$52.99,300411539
"Kitcheniva 4-Piece Bath Towels Set for Bathroom, Purple",0.0,0,$102.84,$71.99,300589423
Sweet Home Collection Elite Orb 3 Piece Bath Towel Set,0.0,0,$119.99,$60.95,300473435
"Utopia Towels 2-Pack Luxurious Jumbo Bath Towel Sheets (35 x 70 Inches )- 600 GSM, Burgundy",0.0,0,$58.99,$53.99,300411536
Avanti Monogram Block Letter Hand Towel,4.5,59,$7.99 - $9.99,$7.99 - $9.99,5316022
"Classic Turkish Towels Genuine Cotton Soft Absorbent Luxury Madison 6 Piece Set With 2 Bath Towels, 2 Hand Towels, 2 Washcloths",2.3,3,$49.99,$49.99,7001418
"Kitcheniva 4-Piece Bath Towels Set for Bathroom, Gray",0.0,0,$102.84,$71.99,300589421
Avanti Rosefan Hand Towel in Ivory,4.7,25,$21.99,$21.99,1013863997
"Utopia Towels 2-Pack Luxurious Jumbo Bath Towel Sheets (35 x 70 Inches )- 600 GSM, Black",0.0,0,$57.99,$52.99,300411538
"Classic Turkish Towels Genuine Cotton Soft Absorbent Boston 6 Piece Set With 2 Bath Towels, 2 Hand Towels, 2 Washcloths",0.0,0,$69.99,$49.49,7048074
Avanti Premier Songbirds Hand Towel in Ivory,4.5,60,$16.99,$16.99,1018598051
"Kitcheniva 4-Pcs 100% Soft Cotton Turkish Bath Towels Set, Navy",0.0,0,$143.32,$85.99,300589267
"Kitcheniva 4-Pcs 100% Soft Cotton Turkish Bath Towels Set, Black",0.0,0,$143.32,$85.99,300589272
"Chelsea  Six Piece Bath Towel Set, Two Each - Washcloths, Hand Towels and Bath Towels, Cotton, Color Options, Buy a Set",0.0,0,$24.69 - $196.60,$24.69 - $196.60,7154824
"KeaBabies 6pk Baby Washcloths, High Absorbent and Soft Baby Towels and Washcloths, Baby Bath Towel (Earth Brown)",0.0,0,$17.96,$14.96,7001643
Nate Home by Nate Berkus Cotton Terry Bath Set,0.0,0,$49.99 - $79.99,$49.99 - $79.99,7143232
Avanti Riverview Hand Towel,4.4,41,$15.99,$15.99,3269206
"Fast Dry  Zero-Twist 6-Piece Bath Towel Set, 2 Washcloths, 2 Hand Towels and 2 Bath Towels, Ring Spun Cotton, Color",0.0,0,$25.67 - $187.70,$25.67 - $187.70,7154825
Avanti Dotted Circle Hand Towel,4.2,10,$15.99,$15.99,3310053
Belen Kox 100% Cotton 12pcs Bath Towel Set White,0.0,0,$126.32,$72.63,300258492
"Kitcheniva 2-Piece Bath Towels Set for Bathroom, Purple",0.0,0,$72.84,$50.99,300589411
Madison Park Signature Bath Sheet (Set of 2),4.6,74,$67.99 Set,$67.99 Set,5445509
Avanti Galaxy Hand Towel in Linen,4.6,36,$15.99,$15.99,1018595877
